DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775750661,850394010,657,16,,4/9/2026,11:04:21,17625.117,439.6683,2157.6179,39.2808,54.8914,29.0817,40.2836,0.00679338,11.3904,54.4377,4.5,0.53542,14.5071,159
DATA,1775750662,850058078,661,16,,4/9/2026,11:04:22,17488.914,441.11826,2157.6482,39.282,54.8924,29.0829,40.2836,0.00673016,11.3929,54.4383,118,0.53542,14.5059,162
DATA,1775750663,850058078,665,16,,4/9/2026,11:04:23,17407.975,440.26767,2157.4143,39.282,54.8935,29.0854,40.2836,0.00666661,11.3928,54.439,17,0.53542,14.5063,69
DATA,1775750664,850058078,669,16,,4/9/2026,11:04:24,17334.486,441.50543,2157.6772,39.2812,54.8943,29.0854,40.2836,0.00662873,11.3932,54.4396,21.5,0.53542,14.5075,10
DATA,1775750665,850058078,673,16,,4/9/2026,11:04:25,17252.795,449.50974,2157.2869,39.282,54.8953,29.0896,40.2836,0.00658145,11.3943,54.4404,83.5,0.53542,14.5079,243
DATA,1775750666,850058078,677,16,,4/9/2026,11:04:26,17113.648,452.80679,2156.7561,39.282,54.8962,29.0896,40.2836,0.00652263,11.3943,54.4412,-5,0.53542,14.5082,114
DATA,1775750667,850058078,681,16,,4/9/2026,11:04:27,17194.348,453.70782,2156.5669,39.2816,54.897,29.0896,40.2836,0.00652278,11.3939,54.4419,-26.25,0.53542,14.5055,85
DATA,1775750668,850058078,685,16,,4/9/2026,11:04:28,17356.371,453.05899,2156.479,39.2812,54.8978,29.0887,40.2836,0.00656234,11.3932,54.4425,-58,0.53542,14.5047,191
DATA,1775750669,850058078,689,16,,4/9/2026,11:04:29,17294.295,449.97177,2156.437,39.2808,54.8986,29.0867,40.2836,0.00652999,11.3936,54.4433,11.5,0.53542,14.5043,4
DATA,1775750670,849719047,693,16,,4/9/2026,11:04:30,17334.141,444.59039,2156.1245,39.2808,54.8995,29.0875,40.2836,0.00652027,11.3929,54.4438,-10,0.53542,14.5047,205
DATA,1775750671,849719047,697,16,,4/9/2026,11:04:31,17563.082,440.74112,2157.1472,39.2816,54.9003,29.0846,40.2836,0.00658906,11.3915,54.4446,-39.25,0.53542,14.5051,90
DATA,1775750672,849719047,701,16,,4/9/2026,11:04:32,17569.354,440.78253,2157.4895,39.2828,54.9011,29.0867,40.2836,0.00656451,11.3921,54.4452,3.5,0.53542,14.5059,212
DATA,1775750673,849719047,705,16,,4/9/2026,11:04:33,17770.354,438.65701,2156.769,39.2812,54.902,29.0846,40.2836,0.0066188,11.3913,54.446,-96,0.53542,14.5067,13
DATA,1775750674,849719047,709,16,,4/9/2026,11:04:34,17991.893,439.03256,2156.7773,39.2816,54.9028,29.0804,40.2836,0.00669702,11.3903,54.446,-121,0.53542,14.5075,218
DATA,1775750675,849719047,713,16,,4/9/2026,11:04:35,17767.602,446.30658,2156.8069,39.2824,54.9036,29.0788,40.2836,0.00662568,11.3915,54.4467,86.5,0.53542,14.5086,39
DATA,1775750676,849719047,717,16,,4/9/2026,11:04:36,17306.035,457.35229,2156.2358,39.2828,54.9044,29.0817,40.2836,0.00643383,11.3933,54.4471,196,0.53542,14.5082,218
DATA,1775750677,849386930,721,16,,4/9/2026,11:04:37,17016.75,477.19742,2155.6206,39.2816,54.9051,29.0879,40.2836,0.00629147,11.3947,54.4477,114.75,0.53542,14.509,24
DATA,1775750678,849386930,725,16,,4/9/2026,11:04:38,16831.619,472.82547,2155.52,39.2812,54.9061,29.09,40.2836,0.00620852,11.3948,54.4485,23.25,0.53542,14.5082,112
DATA,1775750679,849386930,729,16,,4/9/2026,11:04:39,16792.244,505.9895,2155.5437,39.2816,54.9069,29.0916,40.2836,0.00618116,11.3954,54.4492,8.25,0.53542,14.5075,247
DATA,1775750680,849386930,733,16,,4/9/2026,11:04:40,17339.738,479.09283,2154.8726,39.2816,54.9078,29.0887,40.2836,0.00632374,11.3927,54.45,-210.25,0.53542,14.5082,65
DATA,1775750681,849386930,737,16,,4/9/2026,11:04:41,18256.076,459.08496,2154.9026,39.2808,54.9086,29.0808,40.2836,0.00662671,11.3889,54.4506,-443.25,0.53542,14.509,126
DATA,1775750682,849386930,741,16,,4/9/2026,11:04:42,18510.039,465.82419,2156.124,39.282,54.9094,29.0759,40.2836,0.00674827,11.3875,54.4513,-289.75,0.53542,14.509,15
DATA,1775750683,849386930,745,16,,4/9/2026,11:04:43,18415.393,469.55396,2155.8079,39.2828,54.9102,29.0692,40.2836,0.00669649,11.389,54.4521,-53,0.53542,14.5094,191
DATA,1775750684,849386930,749,16,,4/9/2026,11:04:44,18304.686,460.91913,2155.3333,39.2816,54.9107,29.0684,40.2836,0.00662928,11.389,54.4529,-24.25,0.53542,14.5071,63
DATA,1775750685,849055051,753,16,,4/9/2026,11:04:45,18127.615,452.56946,2154.8374,39.282,54.9115,29.0684,40.2836,0.00655846,11.3901,54.4535,-4.75,0.53542,14.5063,0
DATA,1775750686,849055051,757,16,,4/9/2026,11:04:46,18334.064,451.17633,2154.4905,39.2816,54.9123,29.0655,40.2836,0.00659661,11.3892,54.4542,-63,0.53542,14.5055,201
